source_column,feature_name,type,description,exemple,relevant_roles,inverted,feat_col,z_col
goals,goals_p90,vol,"But marqué — ballon franchissant entièrement la ligne de but, attribué au dernier joueur ayant touché le ballon intentionnellement",Haaland reprend un centre de Bernardo Silva du pied droit — but,CF|W|AM|SS,False,feat_goals_p90,z_goals_p90
expectedGoals,xg_p90,vol,"Probabilité qu'un tir donné se transforme en but, calculée sur la base de situations similaires dans la base historique Opta (~1 million de tirs). Facteurs : position, partie du corps, type de situation (ouvert/corner/coup franc), pression défensive. Échelle 0-1.","Tir du pied droit à 12m face au but, sans gardien sorti : xG=0.38. Même tir de l'extérieur de la surface : xG=0.05",CF|W|AM|SS|CM,False,feat_xg_p90,z_xg_p90
np_xg,npxg_p90,vol,"xG total du joueur sur la saison, pénaltys exclus. Les pénaltys étant des tirs à xG fixe ~0.76 quelle que soit la qualité du tireur, ils sont retirés pour mesurer la vraie qualité des occasions en jeu ouvert.",Joueur avec 18 xG dont 4 sur pénaltys → npxG = 14,CF|W|AM|SS|CM,False,feat_npxg_p90,z_npxg_p90
_np_goals_minus_npxg,np_goals_minus_npxg,vol,Surperformance de finition : buts hors pénaltys − npxG. Positif = marque plus que prédit (finisseur efficace). Négatif = sous-performance. Normalisé per-90.,"Joueur : 8 np_goals, 6.5 npxG → +1.5 saison → ~+0.08/90. Haaland 23-24 : +15 au-dessus de son npxG",CF|W|AM,False,feat_np_goals_minus_npxg,z_np_goals_minus_npxg
xGChain_us,xgchain_p90,vol,"Somme des xG de toutes les occasions auxquelles le joueur a participé dans la séquence de jeu, qu'il ait tiré, passé, ou simplement touché le ballon à n'importe quel moment de l'action. Très inclusif.",Modric touche le ballon 3 passes avant le tir de Benzema (xG=0.25) → Modric reçoit 0.25 dans son xGChain,CF|W|AM|CM|DM|FB,False,feat_xgchain_p90,z_xgchain_p90
xGBuildup_us,xgbuildup_p90,vol,xGChain moins la contribution directe du tireur (xG) et du passeur décisif (xA). Mesure exclusivement les touches 'invisibles' en amont de la phase finale — la contribution à la construction profonde.,"Cancelo → De Bruyne → Haaland (but, xG=0.45). Cancelo : xGBuildup=0.45. De Bruyne : xGBuildup=0 (passeur déc. exclu). Haaland : xGBuildup=0 (tireur exclu)",CM|DM|CB|FB|AM,False,feat_xgbuildup_p90,z_xgbuildup_p90
totalShots,shots_p90,vol,"Toute tentative délibérée de marquer, qu'elle soit cadrée, non-cadrée, bloquée ou sur le poteau. Exclut : les centres rentrants comptés comme but, les dégagements comptés comme tir.",Frappe de 25m qui finit en tribunes = 1 tir. Tir bloqué par un défenseur = 1 tir (mais pas cadré),CF|W|AM,False,feat_shots_p90,z_shots_p90
shotsFromInsideTheBox,shots_inside_p90,vol,"Tirs tentés depuis l'intérieur de la surface de réparation (18 yards). Sous-ensemble de totalShots mesurant la présence offensive dans la zone de vérité, indépendamment de la précision.",Haaland contrôle dans la surface à 7m et frappe au but = 1 tir depuis l'intérieur de la surface,CF|W|AM,False,feat_shots_inside_p90,z_shots_inside_p90
headedGoals,headed_goals_p90,vol,Buts marqués de la tête — sous-ensemble de goals attribués à une touche de tête intentionnelle. Indicateur de domination aérienne offensive.,Giroud détourne un corner de la tête en haut du filet = 1 headed goal,CF|CD,False,feat_headed_goals_p90,z_headed_goals_p90
_npxg_proxy_p90,npxg_proxy_p90,vol,Proxy npxG calculé depuis les données Opta : xG total (expectedGoals) moins la contribution estimée des pénaltys (penaltiesTaken × 0.76). Clip à 0 pour éviter les valeurs négatives.,Joueur avec expectedGoals=12.5 et penaltiesTaken=3 → npxg_proxy = 12.5 − 3×0.76 = 10.22,CF|W|AM|SS|CM,False,feat_npxg_proxy_p90,z_npxg_proxy_p90
